,,,,,,,Public Integrity Measures,,,,,Fiscal Openness,,,Citizen Engagement,,,Procurement,Access to Information Mechanisms,,Open Data,Elections,Justice,Public Services,How is it Done?,,,Who is Affected?,,,,Sectors,,,,,,,,,,,,,,Mainstreaming Issues,,OGP,Sum,Line Ministry Contact,,,,Working Groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,1,Albania,10. The regulation on ethics in research and publishing,"The Ministry of Education and Science has adopted and published the regulation on: “Ethics in research and publishing”. This regulation provides, inter alia, the obligation of institutions and researchers to publish and verify on the relevant official website every scientific Master’s thesis, PHD dissertation, monograph, book, scientific article or reference, and other forms of research and publication, in order to maintain the originality and authenticity of the work and to fight plagiarism.",Ministry of Education and Science,"Research, Technology and Innovation Agency; Higher Education and Research Institutions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,1.2,0,b. medium,2,0,0,1,0,0,0,0,0,0,0,New,2,None,0,Unclear,Not Specified,Not Specified,2,d. Complete,4,d. Complete,4,0,on schedule,0,0,0,1,New commitment building existing implementation,1,1
186,1,Albania,11. Digitalization of higher education accreditation process,"The Public Agency for Higher Education Accreditation is completing the digitalization of its management system, which will facilitate the evaluation and accreditation procedures of higher education institutions.",Ministry of Education and Science,Public Agency for Higher Education Accreditation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,1.2,0,a. low,1,0,0,1,0,0,0,0,0,0,0,Pre-existing,1,Minor,1,Unclear,Not Specified,Not Specified,2,b. Limited,2,d. Complete,4,2,behind schedule,0,0,0,1,Further work on basic implementation,1,1
187,1,Albania,12. U-Gov system,"The first module of the U-Gov system, a system at the service of universities for internal information management, is underway.",Ministry of Education and Science,Higher Education Institutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,1.2,0,a. low,1,0,0,1,0,0,0,0,0,0,0,Unclear,0,Minor,1,Unclear,Not Specified,Not Specified,2,a. Not started,1,c. Substantial,3,2,behind schedule,0,0,0,0,None: Abandon co,1,1
188,1,Albania,13. Online inspections of courts and judicial hearings,"The Online Inspection of courts and judicial hearings is one of the new functionalities that the Integrated Case Management Information System (ICMIS) provides. This project is implemented through the www.gjykata.gov.al portal. By introducing this system, the administration seeks to minimize the time needed for the compilation of inspected reports.",Ministry of Justice,None specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,NR,NR,NR,NR,NR,0,1.2,0,c. high,3,1,0,0,0,0,0,0,1,1,1,Pre-existing,1,Minor,1,Unclear,2012,Not Specified,2,b. Limited,2,d. Complete,4,2,behind schedule,0,0,0,1,Further work on basic implementation,1,1
189,1,Albania,14. Digitalization of the file transfer process,Another initiative in progress within the justice sector is to digitalize the File Transfer Process within and between the various levels of the judicial system. The process will significantly reduce the time needed for registration and other court procedures.,Ministry of Justice,None specified,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,1.2,0,b. medium,2,0,0,1,0,0,0,0,1,1,1,Pre-existing,1,Transformative,3,Unclear,Not Specified,Not Specified,2,a. Not started,1,NA,NA,NA,NA,0,0,0,1,Revision of the commitment to be more achievable or measurable,1,1
190,1,Albania,15. e-Employment project,"The e-Employment project will be implemented in 2012, with the aim of digitalizing the information in all employment offices. The project will consolidate the databases for the labor market and will create a registry of job seekers and employers.","Ministry of Labor, Social Affairs and Equal Opportunities",None specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,1.2,0,b. medium,2,0,0,1,0,0,0,0,0,0,0,Unclear,0,Moderate,2,Clear,Not Specified,2012,1,c. Substantial,3,d. Complete,4,1,behind schedule,0,0,0,1,Revision of the commitment to be more achievable or measurable,1,1
191,1,Albania,16. e-Concessions procedures,The Public Procurement Agency (PPA) developed the electronic concessions procedures in the opening phase of the offerings. The system enables the submission of the concession procedures offers in an electronic way through the electronic platform of the e-procurement system on the APP’s website.,Public Procurement Agency,None specified,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,1.2,0,c. high,3,0,1,0,0,0,1,0,0,1,1,Unclear,0,Moderate,2,Supplementary Materials,Not Specified,Aug-13,0,d. Complete,4,NA,NA,NA,NA,1,0,1,1,Maintenance and monitoring of completed implementation,1,1
192,1,Albania,17. Amendment of the law “on the right to information for official documents”,"The Ministry of Justice will amend the law “On the Right to Information for Official Documents” (Law No. 8503, dated 30.06.1999).",Ministry of Justice,None specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,1.3,0,c. high,3,1,0,0,0,0,1,1,0,0,1,Unclear,0,Moderate,2,Unclear,2012,2013,0,b. Limited,2,d. Complete,4,2,behind schedule,0,0,0,1,Further work on basic implementation,1,1
193,1,Albania,"18. Drafting a new law on ""notice and consultation""","The Minister for Innovation and ICT office will draft a special law ""On Notice and Consultation"". The law will include the legal regulation of the structured consultation processes with civil society actors and interest groups, including economic and social partners.",Ministry for Innovation and ICT,None specified,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,1.3,0,c. high,3,1,0,0,0,0,1,1,0,0,1,New,2,Transformative,3,Unclear,Not Specified,Not Specified,2,b. Limited,2,d. Complete,4,2,behind schedule,0,0,0,1,Revision of the commitment to be more achievable or measurable,1,1
194,1,Albania,19. Tracking project,"The National Agency for Information Society has developed the Tracking Project, a functionality which enables each citizen or business that applies to a State office to follow the progress of their application online, until the official response. Up to now there are three state agencies that have already implemented this service, Public Procurement Agency, National Registration Center and National Licensing Center. e-Tracking can be accessed through the Government Portal, www.e-albania.al. The project's goal is to increase the working efficiency and accountability of the public administration.",Ministry of Innovation and ICT,National Agency for Information Society,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,NR,NR,NR,NR,NR,0,1.3,0,c. high,3,1,0,0,0,0,0,0,1,1,1,Pre-existing,1,Moderate,2,Supplementary Materials,2012,2013,0,b. Limited,2,NA,NA,NA,NA,0,0,0,1,Further work on basic implementation,1,1
195,1,Albania,20. Digitalization of the notary register,"The main objective is to ensure accuracy, promptness and minimum time for providing the service to the citizens. The use of modern technology equipment provides to the notary service structures access to the general data base and consequently accuracy and significant shortening of the time needed by the notary acts.",Mininstry of Justice,None specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,1.3,0,c. high,3,0,0,1,0,0,0,0,1,1,1,Unclear,0,Minor,1,Clear,Jun-12,Dec-12,1,c. Substantial,3,d. Complete,4,1,behind schedule,0,0,0,1,Further work on basic implementation,1,1
196,1,Albania,21. Online citizens’ claims in the judiciary system,"The Ministry of Justice (MoJ) implemented the project for the online processing of citizens’ claims at the ministry and the High Council of Justice (HCJ). The goals of the project are to shorten the processing time of claims in the judiciary system, increase the transparency of the processing of claims and avoid overlap between the HCJ and MoJ during judicial auditing.",Ministry of Justice; High Council of Justice,None specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,NR,NR,NR,NR,NR,0,1.3,0,c. high,3,1,0,0,0,0,0,0,1,1,1,New,2,Moderate,2,Unclear,Not Specified,Not Specified,2,c. Substantial,3,d. Complete,4,1,behind schedule,1,1,1,1,Revision of the commitment to be more achievable or measurable,1,1
197,1,Albania,"22. Work inspection, online complaint","Concerning work inspection, the State Labor Inspectorate website (www.sli.gov.al), will also be used by citizens this year to make an online complaint or to report violations. The goal is to achieve timely review of the complaint and to take appropriate measures.","Ministry of Labor, Social Affairs and Equal Opportunities",State Labor Inspectorate  (SLI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,1.3,0,b. medium,2,1,0,0,0,0,0,0,1,1,1,Unclear,0,None,0,Unclear,2012,Not Specified,2,b. Limited,2,d. Complete,4,2,behind schedule,0,0,0,1,Revision of the commitment to be more achievable or measurable,1,1
198,1,Albania,23. Financial module of all educational institutions,"Last year, a system was created to manage the finances and budget of the Ministry of Education and Sciences and all regional education departments in order to built on a central/unique database platform. The second phase of the module has begun in April 2012. The system enhances the quality of interaction, avoids duplication of information, increases transparency and tracks educational institutions’ expenses electronically.",Ministry of Education and Science,All regional education departments,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,2.1,0,a. low,1,0,1,0,0,0,1,0,1,0,1,Unclear,0,Minor,1,Unclear,2012,Not Specified,2,a. Not started,1,d. Complete,4,3,behind schedule,0,0,0,1,Further work on basic implementation,1,1
199,1,Albania,24. Audio and video recording of judicial hearings,The Ministry of Justice will implement the project of the Audio and Video Recording of Judicial Hearings and also will develop court personnel training for this process. Until April 2013 the project is implemented in 14 Regional Courts.,Ministry of Justice,None specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,2.1,0,c. high,3,1,0,0,0,0,1,0,1,1,1,Pre-existing,1,Transformative,3,Clear,Mar-12,Apr-13,1,d. Complete,4,d. Complete,4,0,on schedule,1,0,1,1,New commitment building existing implementation,1,1
200,1,Albania,25. e-Albania portal,"A new multi-functional governmental portal is established, e-albania.al. This portal is oriented toward users’ needs, providing updated and easily accessible information for them. In the future, this portal will serve as a single point of contact for e-government services offered to citizens, businesses and public employees.",Ministry of Innovation and ICT,National Agency for Information Society (NAIS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,NR,NR,NR,NR,NR,0,2.2,0,c. high,3,0,0,1,0,0,1,0,0,1,1,New,2,Transformative,3,Unclear,Not Specified,Not Specified,2,d. Complete,4,d. Complete,4,0,on schedule,1,1,1,1,New commitment building existing implementation,1,1
201,1,Albania,26. e-Inspection portal,"The Albanian government will create a single portal of inspections, ""e-Inspection"", relevant for the coordination, management, unification and monitoring of inspection procedures.",Ministry of Innovation and ICT,National Agency for Information Society; Central Inspectorate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,NR,NR,NR,NR,NR,0,2.2,0,b. medium,2,1,0,0,0,0,1,0,1,1,1,Unclear,0,Moderate,2,Unclear,Not Specified,Not Specified,2,b. Limited,2,d. Complete,4,2,behind schedule,0,0,0,1,Further work on basic implementation,1,1
202,1,Albania,27. Portal www.gjykata.gov.al,"The Ministry of Justice established the www.gjykata.gov.alportal. The Portal enables citizens to download data, including the publication of judicial decisions.",Ministry of Justice,None specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,NR,NR,NR,NR,NR,0,2.2,0,b. medium,2,0,0,1,0,0,1,0,1,1,1,Pre-existing,1,Transformative,3,Unclear,Not Specified,Not Specified,2,d. Complete,4,d. Complete,4,0,on schedule,1,0,1,1,New commitment building existing implementation,1,1
203,1,Albania,28. Disclosure of the list of payments made daily by the government units,"Based on the law “On the Right to Information,” as well as the Albanian government’s initiative to fight corruption and increase transparency, the Ministry of Finance’s General Directorate of the Treasury has disclosed the list of payments made daily by all general government units since January 2012. This document reflects such details as: the beneficiary, invoice number, description, the institution to which the treasury branch makes the payment, the respective amount and the date of registration of this bill in the Treasury system. This document is available on the official website of the Ministry of Finance.",Ministry of Finance,General Directorate of the Treasury,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,3.1,0,b. medium,2,0,1,0,0,0,1,0,0,1,1,New,2,Minor,1,Supplementary Materials,Jan-12,Jul-13,0,b. Limited,2,d. Complete,4,2,behind schedule,0,0,0,1,Revision of the commitment to be more achievable or measurable,1,1
204,1,Albania,29. e-Procurement system for all small purchases of public procurement,"This year, the Public Procurement Agency implemented the e-procurement system for all small purchases of public procurement, below the threshold of 3000 Euros. The e-procurement system enables the submission of offers and their evaluation in an electronic way. This e-procurement platform is a web-based application that enables secure transactions between Albanian public institutions and national and international business. This system provides a secure and transparent administration for the preparation of all tender documents, thus avoiding unnecessary paperwork and providing data about the entire process. In 2009 Albania was the first country in the world that carried out a mandatory electronic procurement system for all public sector procurements above the threshold of 3000 Euros. For implementing this project, Albania received the second prize of the 2010 UN Public Service Award for excellence in public service. In accordance with the statistics, pointed out for the year of 2011, the costs for the performance of public procurement procedures are down 20%. The number of economic operators participating in tenders is up from 2 to 6 on average.",Public Procurement Agency (PPA),None specified,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,NR,NR,NR,NR,NR,0,3.2,0,c. high,3,0,1,0,0,0,1,0,0,1,1,Unclear,0,Minor,1,Supplementary Materials,Not Specified,Jul-13,0,d. Complete,4,d. Complete,4,0,on schedule,0,0,0,1,Maintenance and monitoring of completed implementation,1,1
205,1,Albania,30. Implementation of the EITI recommendations,"In 2012, the Albanian Secretariat for EITI, ALBEITI, will continue to implement the International Secretariat of EITI recommendations’ (the Extractive Industries Transparency Initiative), including the reorganization of the Inter-Ministerial Working Group of the ALBEITI.","Ministry of economy, trade and energy",ALBEITI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,NR,NR,NR,NR,NR,0,3.3,0,a. low,1,0,1,0,0,0,1,0,1,1,1,New,2,Minor,1,Unclear,Not Specified,Not Specified,2,c. Substantial,3,NA,NA,NA,NA,0,0,0,1,Revision of the commitment to be more achievable or measurable,1,1
NR,2,Albania,1.1 Standardization of processes on complaints related to corruption- Minister of State for Local Issues,"The Minister of State for Local Issues, in the role of the National Coordinator for Anti-Corruption, will undertake the standardization of the process related to complaints addressing corruption. Currently, although many ministries have been given green lines or forms to denounce corruption, there is no standardized procedure, which ensures transparency in the review of the complaint and concrete deadlines to ensure a good service. Some of the indicators and milestones set for this commitment are the drafting of relevant guidelines for addressing corruption complaints, integrating them in each ministry transparency plan rules, publish them online. Given the specifics and difficulty of the fight and investigation of corruption, this system, through the standardization of processes, can increase confidence in the administration and increase the number of informants. Ministries will have to officially publish relevant standards and inform the public on the progress of specific issues, thus raising the level of accountability of the public administration. This commitment will help improve the transparency regarding the complaint procedures in fact until now there is no clear information on how a citizen can actually address a complaint in corruption cases. The publication of this “standards” will not only create uniformity in the way the complaint will be address but will also serve in raising the efficiency of the public administration while handling corruption complaints.",Minister of State for Local Issues,None specified,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,0,0,0,0,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,0
NR,2,Albania,"1.2 Electronic Registry of authorizations, permits and agreements issued by the Ministry of Energy and Industry","The Ministry of Energy and Industry, in the framework of increasing transparency andaccountability, has undertaken the Electronic Registry initiative, aiming to establish and publish in its web page an Electronic Registry of authorizations, permits and agreements given in the relevant fields and their updated status. Currently there is a lack of information not only on the procedures for obtaining an authorization or permit, but also citizens, interested groups, civil society have no information on the number of permits and authorization given in the energy and industry sector. In order to address this problem and acquire full transparency on the status of the actors operating in these field, the Ministry has initiated a process of identifying the current status, which will also allow an easier monitoring process. This registry system will help improving MEI’s transparency and accountability, but will also allow citizens to access information through the Electronic Registry.",Ministry of Energy and Industry,None specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,0
NR,2,Albania,"1.3 Implementation of public expenses module in ""open data"" format – MSIPA and NAIS","The National Agency for Information Society in the context of the global initiative ""Partnership for Open Governance"", will undertake as commitment the implementation of a module that will allow in an open data format, online access to information on budgetary data of the Ministries. This module will be accessed from the government portal e-Albania and the official websites of the respective institutions. This module will provision information in real time of budgetary expenses of the Council of Ministers and Line Ministries in order to guaranty complete and transparent information of the expenses. The indicators such as the functionality of the module, the number of visitors of the web pages or downloaded information will be used to verify the implementation of this commitment. The module of public expenses which will be presented graphically will provide full information in the official web page of the Council of Ministers meanwhile in the official web page of each Ministry will be given information for the respective Ministry.",None specified,None specified,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,1,0,0,0,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,0
