Country name,Timeline and process: Prior availability,Timeline: Online,Timeline: other channels,Advance notice,Days in advance,Advance notice: Adequacy,Awareness-raising activities,Online consultations,In-person consultations,Summary of comments,Consultation during action plan implementation (regular forum),Was annual progress report published?,Was it done according to schedule?,Did the government provide a two-week public comment period on draft self-assessment reports?
Finland,Yes,Yes,Yes,Yes,11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
France,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Georgia,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,No,Yes,No,Yes,Yes,No,NR
Ghana,Yes,Yes,Yes,Yes,7,No,Yes,No,Yes,Yes,Yes,No,No,No
Greece,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,No,Yes,No,No,Yes,Yes,Yes
Guatemala,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,No,No,No,Yes,No,No,No
Honduras,No,No Timeline,No Timeline,Yes,3,No,No,No,Yes,No,No,Yes,No,No
Hungary,Yes,Not Online,No other channels,Yes,15,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
Indonesia,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Ireland,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Israel,Yes,Yes,No other channels,No,No advance notice,No advance notice,No,Yes,Yes,Yes,Yes,Yes,No,No
Italy,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,Yes,No,Yes,No,Yes,No,Yes
Jordan,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,No,Yes,No,No,Yes,Yes,No
Kenya,No,No Timeline,No Timeline,No,No advance notice,No advance notice,Yes,No,Yes,No,Yes,Yes,No,No
Latvia,NR,No Timeline,No Timeline,No,No advance notice,No advance notice,Yes,No,Yes,No,No,Yes,No,NR
Liberia,No,No Timeline,No Timeline,No,No advance notice,No,Yes,No,Yes,No,Yes,No,No,No
Lithuania,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Macedonia,No,No Timeline,No Timeline,Yes,3,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes
Malta,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Malawi,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Mexico,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Moldova,No,Yes,Yes,Yes,7,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
Mongolia,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Montenegro,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,No,Yes,No,Yes,Yes,No,No
Netherlands,No,Not Online,Yes,No,No advance notice,No,Yes,No,Yes,No,Yes,Yes,No,Yes
New Zealand,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Norway,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Panama,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,Yes,No,No,No,Yes,Yes,Yes
Paraguay,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,No,No,No,No,Yes,Yes,No
Peru,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Philippines,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Romania,No,No Timeline,No Timeline,Yes,7,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
Serbia,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Sierra Leone,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Slovakia,Yes,Yes,No other channels,Yes,7,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes
South Africa,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
South Korea,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,No,No,No,No,Yes,No,NR
Spain,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,No,No,No,No,Yes,No,Yes
Sweden,No,No Timeline,No Timeline,Yes,14,Yes,No,No,Yes,No,No,Yes,No,No
Tanzania,Yes,Yes,Yes,Yes,45,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
Trinidad and Tobago,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Tunisia,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Turkey,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Ukraine,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
United Kingdom,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
United States,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Uruguay,No,No Timeline,No Timeline,No,No advance notice,No advance notice,No,Yes,No,No,No,Yes,Yes,No
